2011,1,21
2011,2,20
2011,3,23
2011,4,21
2011,5,22
2011,6,22
2011,7,21
2011,8,23
2011,9,22
2011,10,21
2011,11,22
2011,12,22
2012,1,22
2012,2,21
2012,3,22
2012,4,21
2012,5,23
2012,6,21
2012,7,22
2012,8,23
2012,9,20
2012,10,23
2012,11,22
2012,12,21
2013,1,23
2013,2,20
2013,3,21
2013,4,22
2013,5,23
2013,6,20
2013,7,23
2013,8,22
2013,9,21
2013,10,23
2013,11,21
2013,12,22
2014,1,23
2014,2,20
2014,3,21
2014,4,22
2014,5,22
2014,6,21
2014,7,23
2014,8,21
2014,9,22
2014,10,23
2014,11,20
2014,12,23
2015,1,22
2015,2,20
2015,3,22
2015,4,22
2015,5,21
2015,6,22
2015,7,23
2015,8,21
2015,9,22
2015,10,22
2015,11,21
2015,12,23
2016,1,21
2016,2,21
2016,3,23
2016,4,21
2016,5,22
2016,6,22
2016,7,21
2016,8,23
2016,9,22
2016,10,21
2016,11,22
2016,12,22
2017,1,22
2017,2,20
2017,3,23
2017,4,20
2017,5,23
2017,6,22
2017,7,21
2017,8,23
2017,9,21
2017,10,22
2017,11,22
2017,12,21
2018,1,23
2018,2,20
2018,3,22
2018,4,21
2018,5,23
2018,6,21
2018,7,22
2018,8,23
2018,9,20
2018,10,23
2018,11,22
2018,12,21
2019,1,23
2019,2,20
2019,3,21
2019,4,22
2019,5,23
2019,6,20
2019,7,23
2019,8,22
2019,9,21
2019,10,23
2019,11,21
2019,12,22
2020,1,23
2020,2,20
2020,3,22
2020,4,22
2020,5,21
2020,6,22
2020,7,23
2020,8,21
2020,9,22
2020,10,22
2020,11,21
2020,12,23
2021,1,21
2021,2,20
2021,3,23
2021,4,22
2021,5,21
2021,6,22
2021,7,22
2021,8,22
2021,9,22
2021,10,21
2021,11,22
2021,12,23
2022,1,21
2022,2,20
2022,3,23
2022,4,21
2022,5,22
2022,6,22
2022,7,21
2022,8,23
2022,9,22
2022,10,21
2022,11,22
2022,12,22
2023,1,22
2023,2,20
2023,3,23
2023,4,20
2023,5,23
2023,6,22
2023,7,21
2023,8,23
2023,9,21
2023,10,22
2023,11,22
2023,12,21
2024,1,23
2024,2,21
2024,3,21
2024,4,22
2024,5,23
2024,6,20
2024,7,23
2024,8,22
2024,9,21
2024,10,23
2024,11,21
2024,12,22
